name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1285;0;1674;3239;1773;3239;1870;0
header;1306;617;1306;645;2169;645;2169;617
A;1537;241;1537;243;1539;243;1539;241
A;1809;290;1809;292;1809;292;1809;290
A;1538;398;1538;399;1538;399;1538;398
A;1738;455;1738;455;1739;455;1739;455
A;1751;706;1751;706;1752;706;1752;706
A;1629;720;1629;721;1632;721;1632;720
A;1741;764;1741;785;1764;785;1764;764
A;1667;766;1667;770;1670;770;1670;766
A;1811;772;1811;772;1811;772;1811;772
A;1771;780;1771;780;1771;780;1771;780
A;1478;843;1478;843;1478;843;1478;843
A;1448;856;1448;858;1452;858;1452;856
A;1503;863;1503;863;1504;863;1504;863
A;1822;927;1822;927;1822;927;1822;927
A;1694;951;1694;964;1700;964;1700;951
A;1493;992;1493;992;1493;992;1493;992
A;1627;999;1627;999;1627;999;1627;999
A;1427;1010;1427;1010;1427;1010;1427;1010
A;1483;1014;1483;1015;1484;1015;1484;1014
A;1470;1095;1470;1097;1470;1097;1470;1095
A;1764;1134;1764;1134;1764;1134;1764;1134
A;1479;1168;1479;1171;1483;1171;1483;1168
A;1808;1191;1808;1193;1809;1193;1809;1191
A;1578;1258;1578;1261;1581;1261;1581;1258
A;1613;1330;1613;1340;1620;1340;1620;1330
A;1681;1380;1681;1381;1681;1381;1681;1380
A;1495;1423;1495;1423;1496;1423;1496;1423
A;1548;1439;1548;1445;1555;1445;1555;1439
A;1818;1449;1818;1458;1824;1458;1824;1449
A;1494;1498;1494;1498;1494;1498;1494;1498
A;1731;1504;1731;1513;1736;1513;1736;1504
A;1653;1575;1653;1580;1655;1580;1655;1575
A;1697;1580;1697;1580;1697;1580;1697;1580
A;1528;1591;1528;1591;1528;1591;1528;1591
A;1693;1607;1693;1620;1712;1620;1712;1607
A;1523;1642;1523;1643;1523;1643;1523;1642
A;1810;1642;1810;1648;1813;1648;1813;1642
A;1632;1655;1632;1655;1632;1655;1632;1655
A;1654;1684;1654;1687;1656;1687;1656;1684
A;1596;1706;1596;1706;1596;1706;1596;1706
A;1533;1707;1533;1714;1536;1714;1536;1707
A;1634;1733;1634;1733;1634;1733;1634;1733
A;1497;1739;1497;1754;1510;1754;1510;1739
A;1633;1746;1633;1746;1634;1746;1634;1746
A;1611;1767;1611;1771;1619;1771;1619;1767
A;1578;1781;1578;1781;1578;1781;1578;1781
A;1680;1787;1680;1787;1680;1787;1680;1787
A;1503;1793;1503;1795;1503;1795;1503;1793
A;1749;1842;1749;1853;1755;1853;1755;1842
A;1730;1879;1730;1887;1736;1887;1736;1879
A;1794;1935;1794;1938;1796;1938;1796;1935
A;1577;1960;1577;1961;1577;1961;1577;1960
A;1584;2087;1584;2107;1605;2107;1605;2087
A;1653;2096;1653;2102;1658;2102;1658;2096
A;1738;2154;1738;2154;1738;2154;1738;2154
A;1584;2227;1584;2238;1591;2238;1591;2227
A;1797;2272;1797;2272;1797;2272;1797;2272
A;1757;2282;1757;2282;1757;2282;1757;2282
A;1793;2363;1793;2363;1794;2363;1794;2363
A;1634;2364;1634;2371;1640;2371;1640;2364
A;1785;2382;1785;2385;1788;2385;1788;2382
A;1666;2403;1666;2426;1688;2426;1688;2403
A;1682;2500;1682;2508;1690;2508;1690;2500
A;1679;2622;1679;2622;1684;2622;1684;2622
A;1691;2684;1691;2689;1699;2689;1699;2684
A;1760;2834;1760;2837;1760;2837;1760;2834
A;1697;2929;1697;2929;1697;2929;1697;2929
A;1750;2967;1750;2967;1750;2967;1750;2967
A;1760;3029;1760;3030;1763;3030;1763;3029
A;1676;3101;1676;3102;1676;3102;1676;3101
A;1732;3121;1732;3124;1737;3124;1737;3121
