name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;747;0;959;3133;1157;3133;1040;0
header;58;13;58;31;1222;31;1222;13
A;988;93;988;93;988;93;988;93
A;838;116;838;120;840;120;840;116
A;960;141;960;143;960;143;960;141
A;1023;150;1023;152;1025;152;1025;150
A;994;206;994;206;995;206;995;206
A;1004;206;1004;207;1004;207;1004;206
A;878;420;878;420;879;420;879;420
A;936;515;936;515;936;515;936;515
A;827;557;827;557;827;557;827;557
A;798;606;798;606;799;606;799;606
A;1062;641;1062;642;1063;642;1063;641
A;839;668;839;669;840;669;840;668
A;929;849;929;851;930;851;930;849
A;1014;1187;1014;1189;1014;1189;1014;1187
A;952;1250;952;1250;952;1250;952;1250
A;971;1250;971;1250;971;1250;971;1250
A;969;1586;969;1586;969;1586;969;1586
A;878;1685;878;1693;885;1693;885;1685
A;1074;1796;1074;1796;1074;1796;1074;1796
A;1101;1850;1101;1850;1101;1850;1101;1850
A;939;1904;939;1904;939;1904;939;1904
A;983;1918;983;1918;984;1918;984;1918
A;923;1954;923;1954;925;1954;925;1954
A;1072;2205;1072;2206;1073;2206;1073;2205
A;1035;2390;1035;2391;1035;2391;1035;2390
A;1106;2509;1106;2510;1107;2510;1107;2509
A;1074;2698;1074;2699;1077;2699;1077;2698
A;1072;2944;1072;2944;1072;2944;1072;2944
